anio,mes,dia,hora,minuto,lux,temperatura,humedad,nubosidad,irradiancia,potencia_producida
2025,6,6,19,0,0.0,15.67,72.0,75.0,0.0,0.0
2025,6,6,18,59,0.0,15.66,72.0,75.0,0.0,0.0
2025,6,6,18,58,0.0,15.66,72.0,75.0,0.0,0.0
2025,6,6,18,57,0.0,15.65,72.0,75.0,0.0,0.0
2025,6,6,18,56,0.0,15.65,72.0,75.0,0.0,0.0
2025,6,6,18,55,0.0,15.64,72.0,75.0,0.0,0.0
2025,6,6,18,54,0.0,15.64,72.0,75.0,0.0,0.0
2025,6,6,18,53,0.0,15.63,72.0,75.0,0.0,0.0
2025,6,6,18,52,0.0,15.63,72.0,75.0,0.0,0.0
2025,6,6,18,51,0.0,15.62,72.0,75.0,0.0,0.0
2025,6,6,18,50,0.0,15.62,72.0,75.0,0.0,0.0
2025,6,6,18,49,0.0,15.61,72.0,75.0,0.0,0.0
2025,6,6,18,48,0.0,15.61,72.0,75.0,0.0,0.0
2025,6,6,18,47,0.0,15.6,72.0,75.0,0.0,0.0
2025,6,6,18,46,0.0,15.6,72.0,75.0,0.0,0.0
2025,6,6,18,45,0.0,15.59,72.0,75.0,0.0,0.0
2025,6,6,18,44,0.0,15.59,72.0,75.0,0.0,0.0
2025,6,6,18,43,0.0,15.58,72.0,75.0,0.0,0.0
2025,6,6,18,42,0.0,15.58,72.0,75.0,0.0,0.0
2025,6,6,18,41,0.0,15.57,72.0,75.0,0.0,0.0
2025,6,6,18,40,0.0,15.57,72.0,75.0,0.0,0.0
2025,6,6,18,39,0.0,15.56,72.0,75.0,0.0,0.0
2025,6,6,18,38,0.0,15.56,72.0,75.0,0.0,0.0
2025,6,6,18,37,0.0,15.55,72.0,75.0,0.0,0.0
2025,6,6,18,36,0.0,15.55,72.0,75.0,0.0,0.0
2025,6,6,18,35,0.0,15.54,72.0,75.0,0.0,0.0
2025,6,6,18,34,0.0,15.54,72.0,75.0,0.0,0.0
2025,6,6,18,33,0.0,15.53,72.0,75.0,0.0,0.0
2025,6,6,18,32,0.0,15.53,72.0,75.0,0.0,0.0
2025,6,6,18,31,0.0,15.52,72.0,75.0,0.0,0.0
2025,6,6,18,30,0.0,15.52,72.0,75.0,0.0,0.0
2025,6,6,18,29,0.0,15.51,72.0,75.0,0.0,0.0
2025,6,6,18,28,0.0,15.5,72.0,75.0,0.0,0.0
2025,6,6,18,27,0.0,15.5,72.0,75.0,0.0,0.0
2025,6,6,18,26,0.0,15.49,72.0,75.0,0.0,0.0
2025,6,6,18,25,0.0,15.49,72.0,75.0,0.0,0.0
2025,6,6,18,24,0.0,15.48,72.0,75.0,0.0,0.0
2025,6,6,18,23,0.0,15.48,72.0,75.0,0.0,0.0
2025,6,6,18,22,0.0,15.47,72.0,75.0,0.0,0.0
2025,6,6,18,21,0.0,15.47,72.0,75.0,0.0,0.0
2025,6,6,18,20,0.0,15.46,72.0,75.0,0.0,0.0
2025,6,6,18,19,0.0,15.46,72.0,75.0,0.0,0.0
2025,6,6,18,18,0.0,15.45,72.0,75.0,0.0,0.0
2025,6,6,18,17,0.0,15.45,72.0,75.0,0.0,0.0
2025,6,6,18,16,0.0,15.44,72.0,75.0,0.0,0.0
2025,6,6,18,15,0.0,15.44,72.0,75.0,0.0,0.0
2025,6,6,18,14,0.0,15.43,72.0,75.0,0.0,0.0
2025,6,6,18,13,0.0,15.43,72.0,75.0,0.0,0.0
2025,6,6,18,12,0.0,15.42,72.0,75.0,0.0,0.0
2025,6,6,18,11,0.0,15.42,72.0,75.0,0.0,0.0
2025,6,6,18,10,0.0,15.41,72.0,75.0,0.0,0.0
2025,6,6,18,9,0.0,15.41,72.0,75.0,0.0,0.0
2025,6,6,18,8,0.0,15.4,72.0,75.0,0.0,0.0
2025,6,6,18,7,0.0,15.4,72.0,75.0,0.0,0.0
2025,6,6,18,6,0.0,15.39,72.0,75.0,0.0,0.0
2025,6,6,18,5,0.0,15.39,72.0,75.0,0.0,0.0
2025,6,6,18,4,0.0,15.38,72.0,75.0,0.0,0.0
2025,6,6,18,3,0.0,15.38,72.0,75.0,0.0,0.0
2025,6,6,18,2,0.0,15.37,72.0,75.0,0.0,0.0
2025,6,6,18,1,0.0,15.37,72.0,75.0,0.0,0.0
2025,6,6,18,0,0.0,15.36,72.0,75.0,0.0,0.0
2025,6,6,17,59,4652.42,15.36,72.08,75.0,36.72,64.14
