# Muestra;Proceso - Gestión Keys;Proceso - Gestión Sensores;Proceso - Gestión Tableros;Proceso - Predicción Manual;Proceso - Predicción Masiva;Proceso - Predicción Tiempo Real;
1;2197;3381;7642;6756;9335;9765;
2;5571;4468;6640;5399;9684;10843;
3;5887;2081;7445;5288;9195;855;
4;3414;4122;7500;5459;7644;9033;
5;4685;3385;7019;5771;10166;9979;
6;5568;3676;7111;5797;11029;11019;
7;2798;3284;8221;6014;10515;10515;
8;4871;3082;8259;934;10332;10332;
9;2926;675;8415;6390;10180;10180;
10;4566;4038;7064;9588;9588;9588;
11;4941;4347;7897;4979;8115;8115;
12;5090;2689;8927;8680;12058;12058;
13;5137;4283;7202;8498;11570;11570;
14;4745;4551;6953;6385;9486;9486;
15;3877;5695;6935;7728;10714;10714;
16;4287;6632;7668;7982;11762;11762;
17;650;3993;6416;7643;10541;10541;
18;593;4759;8513;6679;12489;12489;
19;3916;6677;6309;7636;10223;10223;
20;4605;2855;7353;7728;11990;11990;
21;4160;4144;6523;6801;9574;9574;
22;4683;5492;7049;8271;9605;9605;
23;680;3736;7851;7252;10111;10111;
24;3890;4678;8141;7153;10793;10793;
25;592;5083;8019;8465;12328;12328;
26;4246;5296;6983;8241;10870;10870;
27;3718;4522;6186;6673;11210;11210;
28;3615;5374;7677;6271;10309;10309;
29;4491;4468;6880;8240;11440;11440;
30;4566;3886;5458;7861;11664;11664;
31;633;5012;791;7591;10526;10526;
32;4981;4943;928;7279;10738;10738;
33;675;3957;7921;8511;12177;12177;
34;611;3727;6466;8655;12489;12489;
35;4171;5667;6830;8155;11180;11180;
36;3968;3435;5924;8642;12239;12239;
37;716;4232;7635;8534;12170;12170;
38;4400;5456;7897;8760;12497;12497;
39;3844;963;6413;9047;12192;12192;
40;688;2941;7871;7683;11622;11622;
41;604;3920;782;8420;12005;12005;
42;5011;4038;7490;9272;12347;12347;
43;5090;5288;5211;7943;11340;11340;
44;4658;4473;8019;8408;12194;12194;
45;4893;5609;4967;8271;11990;11990;
46;4560;750;5999;9127;12176;12176;
47;4382;4000;5868;8112;11217;11217;
48;5282;5382;7943;7973;11114;11114;
49;673;4512;8478;7608;11306;11306;
50;4605;3873;752;8532;11760;11760;
51;662;5114;7264;8221;12008;12008;
52;760;2693;5098;7361;11181;11181;
53;4212;3932;7250;7541;11425;11425;
54;5309;4160;6437;8549;12328;12328;
55;680;3855;8542;7297;10303;10303;
56;750;4974;7946;9389;12443;12443;
57;774;4082;5122;8072;11374;11374;
58;5739;5465;5539;8779;12029;12029;
59;5948;6817;5997;7377;10488;10488;
60;761;4907;6593;8319;11894;11894;
61;3844;6181;7598;8473;12151;12151;
62;3908;4491;7925;7835;11175;11175;
63;604;3803;7168;8418;11749;11749;
