Fecha_Hora,Uso_CPU_Total_Percent,Uso_RAM_Total_MB
2026-01-16 09:58:48,2.35,522.29
2026-01-16 09:58:49,14.83,523.96
2026-01-16 09:58:50,27.31,525.64
2026-01-16 09:58:51,25.52,559.9
2026-01-16 09:58:52,23.73,594.16
2026-01-16 09:58:53,33.22,644.64
2026-01-16 09:58:54,42.7,695.11
2026-01-16 09:58:55,66.38,702.31
2026-01-16 09:58:56,90.06,709.51
2026-01-16 09:58:57,59.48,682.36
2026-01-16 09:58:58,28.9,655.21
2026-01-16 09:58:59,23.24,623.93
2026-01-16 09:59:00,17.57,592.65
2026-01-16 09:59:01,11.9,561.37
2026-01-16 09:59:02,6.24,530.09
Promedio,31.56,608.21
