Fecha_Hora,Uso_CPU_Total_Percent,Uso_RAM_Total_MB
2026-01-16 10:13:30,66.57,566.79
2026-01-16 10:13:31,64.05,588.66
2026-01-16 10:13:32,61.53,610.54
2026-01-16 10:13:33,59.01,632.41
2026-01-16 10:13:34,72.78,672.61
2026-01-16 10:13:35,86.55,712.81
2026-01-16 10:13:36,60.19,621.95
2026-01-16 10:13:37,33.83,531.09
2026-01-16 10:13:38,77.26,538.57
2026-01-16 10:13:39,120.69,546.04
2026-01-16 10:13:40,117.75,547.89
2026-01-16 10:13:41,114.81,549.74
2026-01-16 10:13:42,116.56,549.47
2026-01-16 10:13:43,118.32,549.2
2026-01-16 10:13:44,120.04,549.8
2026-01-16 10:13:45,121.76,550.4
2026-01-16 10:13:46,121.68,549.87
2026-01-16 10:13:47,121.61,549.34
2026-01-16 10:13:48,122.0,549.69
2026-01-16 10:13:49,122.4,550.04
2026-01-16 10:13:50,124.96,549.69
2026-01-16 10:13:51,127.52,549.34
2026-01-16 10:13:52,121.08,544.62
2026-01-16 10:13:53,114.64,539.89
Promedio,99.48,570.85
