Fecha_Hora,Uso_CPU_Total_Percent,Uso_RAM_Total_MB
2026-01-16 10:15:51,2.66,543.42
2026-01-16 10:15:52,18.31,567.81
2026-01-16 10:15:53,33.95,592.19
2026-01-16 10:15:54,49.6,616.58
2026-01-16 10:15:55,31.54,620.25
2026-01-16 10:15:56,13.47,623.92
2026-01-16 10:15:57,41.76,665.94
2026-01-16 10:15:58,70.04,707.95
2026-01-16 10:15:59,73.0,698.5
2026-01-16 10:16:00,75.96,689.05
2026-01-16 10:16:01,52.22,620.62
2026-01-16 10:16:02,28.48,552.2
2026-01-16 10:16:03,50.64,553.5
2026-01-16 10:16:04,72.8,554.8
2026-01-16 10:16:05,94.97,556.1
2026-01-16 10:16:06,117.13,557.4
2026-01-16 10:16:07,116.06,562.22
2026-01-16 10:16:08,114.98,567.04
2026-01-16 10:16:09,115.34,565.52
2026-01-16 10:16:10,115.71,564.01
2026-01-16 10:16:11,115.38,563.93
2026-01-16 10:16:12,115.05,563.86
2026-01-16 10:16:13,116.52,566.12
2026-01-16 10:16:14,117.99,568.39
2026-01-16 10:16:15,116.8,567.79
2026-01-16 10:16:16,115.62,567.19
2026-01-16 10:16:17,117.47,565.36
2026-01-16 10:16:18,119.32,563.52
Promedio,79.38,589.47
